Timestamp,Temp_C,Humidity_pct,Gas_AQI,Light_Lux,Motion_Detected,True_Scenario
2026-05-02 00:00:00,24.27,63.11,66.9,0.0,0,1
2026-05-02 00:01:00,23.86,64.5,66.67,20.5,0,4
2026-05-02 00:02:00,24.07,64.12,66.85,0.0,0,1
2026-05-02 00:03:00,23.52,64.2,66.7,0.0,0,1
2026-05-02 00:04:00,24.14,63.3,66.29,4.0,0,1
2026-05-02 00:05:00,24.31,64.08,66.11,31.5,0,1
2026-05-02 00:06:00,24.35,65.0,65.33,0.0,0,1
2026-05-02 00:07:00,23.92,64.9,65.49,0.0,0,1
2026-05-02 00:08:00,23.55,65.0,64.15,0.0,0,1
2026-05-02 00:09:00,23.87,65.0,64.54,115.0,0,1
2026-05-02 00:10:00,23.99,62.78,64.81,0.0,0,1
2026-05-02 00:11:00,24.11,64.29,65.51,16.9,0,1
2026-05-02 00:12:00,23.5,65.0,66.44,29.4,0,1
2026-05-02 00:13:00,23.98,64.76,66.82,0.0,0,1
2026-05-02 00:14:00,23.74,63.24,66.52,32.2,0,1
2026-05-02 00:15:00,24.37,62.13,67.44,0.0,0,1
2026-05-02 00:16:00,23.42,65.0,66.89,0.0,0,1
2026-05-02 00:17:00,24.26,63.74,66.04,172.1,0,1
2026-05-02 00:18:00,23.96,64.02,66.82,180.6,0,1
2026-05-02 00:19:00,23.49,64.34,67.05,101.2,0,1
2026-05-02 00:20:00,24.42,64.82,66.21,132.0,0,1
2026-05-02 00:21:00,24.34,64.29,65.61,0.0,0,1
2026-05-02 00:22:00,24.31,62.94,65.84,0.0,0,1
2026-05-02 00:23:00,24.03,64.66,65.45,0.0,0,1
2026-05-02 00:24:00,23.83,64.05,65.13,289.9,1,4
2026-05-02 00:25:00,24.02,64.62,65.98,0.0,0,1
2026-05-02 00:26:00,24.14,65.0,66.89,89.4,0,1
2026-05-02 00:27:00,23.87,65.0,66.93,45.4,0,1
2026-05-02 00:28:00,23.79,61.82,66.83,42.7,0,1
2026-05-02 00:29:00,24.13,64.04,67.19,0.0,0,4
2026-05-02 00:30:00,24.05,65.0,66.92,0.0,0,1
2026-05-02 00:31:00,24.24,62.4,65.93,0.0,0,1
2026-05-02 00:32:00,24.39,65.0,64.72,153.8,0,4
2026-05-02 00:33:00,24.22,64.03,64.69,0.0,0,1
2026-05-02 00:34:00,23.72,65.0,65.08,0.0,0,1
2026-05-02 00:35:00,24.01,64.74,65.09,52.6,0,1
2026-05-02 00:36:00,24.11,61.84,65.43,50.3,0,1
2026-05-02 00:37:00,24.21,64.5,65.82,92.1,0,1
2026-05-02 00:38:00,24.22,63.88,66.4,133.9,0,1
2026-05-02 00:39:00,23.99,63.07,66.46,0.0,0,1
2026-05-02 00:40:00,23.89,65.0,66.56,0.0,0,1
2026-05-02 00:41:00,24.26,60.96,66.52,0.0,0,1
2026-05-02 00:42:00,24.1,62.72,66.39,98.6,0,4
2026-05-02 00:43:00,24.08,65.0,65.69,0.0,0,1
2026-05-02 00:44:00,23.83,65.0,66.18,15.4,0,1
2026-05-02 00:45:00,24.53,62.21,66.0,111.9,0,1
2026-05-02 00:46:00,24.07,62.65,65.8,106.9,0,1
2026-05-02 00:47:00,23.99,63.42,65.55,85.0,0,1
2026-05-02 00:48:00,24.07,63.97,64.96,127.6,0,4
2026-05-02 00:49:00,23.98,63.22,64.93,0.0,0,4
2026-05-02 00:50:00,23.69,64.05,65.15,193.6,0,1
2026-05-02 00:51:00,24.08,63.71,64.84,39.6,0,1
2026-05-02 00:52:00,23.65,63.83,65.29,160.2,0,1
2026-05-02 00:53:00,24.04,63.16,65.13,0.0,0,1
2026-05-02 00:54:00,23.61,62.88,64.47,0.0,0,1
2026-05-02 00:55:00,23.47,64.46,65.07,214.4,0,1
2026-05-02 00:56:00,24.16,63.47,65.15,0.0,1,1
2026-05-02 00:57:00,23.74,63.0,65.52,0.0,0,1
2026-05-02 00:58:00,24.12,63.92,65.9,86.6,0,1
2026-05-02 00:59:00,24.05,65.0,65.48,116.1,0,1
2026-05-02 01:00:00,24.05,63.76,65.24,152.7,0,1
2026-05-02 01:01:00,23.86,64.47,65.69,50.1,0,1
